,Avergare Distint Names,Current Distint Names,# MonteCarlo's Distint Names > Current Distint Names,# MonteCarlo's Distint Names < Current Distint Names,# MonteCarlo's Distint Names = Current Distint Names,P(MonteCarlo's Distint Names > Current Distint Names),P(MonteCarlo's Distint Names < Current Distint Names),P(MonteCarlo's Distint Names = Current Distint Names),Iterations
Hospital San Borja Arriarán- BOTTOM 90%,600.3706,558,9979,18,3,0.9979,0.0018,0.0003,10000
Municipalidad de Lautaro- TOP 10%,21.4197,22,0,4447,5553,0.0,0.4447,0.5553,10000
Municipalidad de Lautaro- BOTTOM 90%,275.771,244,10000,0,0,1.0,0.0,0.0,10000
Corporación Municipal de Lo Prado- TOP 10%,23.1896,22,8046,476,1478,0.8046,0.0476,0.1478,10000
Corporación Municipal de Lo Prado- BOTTOM 90%,190.3063,186,7278,2225,497,0.7278,0.2225,0.0497,10000
Hospital Regional de Talca- TOP 10%,91.5823,96,1214,8232,554,0.1214,0.8232,0.0554,10000
Hospital Regional de Talca- BOTTOM 90%,343.641,342,5471,4166,363,0.5471,0.4166,0.0363,10000
Municipalidad de Talagante- TOP 10%,20.3712,21,0,4751,5249,0.0,0.4751,0.5249,10000
Municipalidad de Talagante- BOTTOM 90%,161.9144,143,9997,1,2,0.9997,0.0001,0.0002,10000
Dirección General de Aeronáutica Civil (DGAC)- TOP 10%,271.31,269,5838,3697,465,0.5838,0.3697,0.0465,10000
Dirección General de Aeronáutica Civil (DGAC)- BOTTOM 90%,464.3878,444,9531,376,93,0.9531,0.0376,0.0093,10000
Municipalidad de Zapallar- TOP 10%,17.4852,18,0,4080,5920,0.0,0.408,0.592,10000
Municipalidad de Zapallar- BOTTOM 90%,117.7949,106,9933,33,34,0.9933,0.0033,0.0034,10000
Municipalidad de Chañaral- TOP 10%,3.9648,4,0,349,9651,0.0,0.0349,0.9651,10000
Municipalidad de Chañaral- BOTTOM 90%,161.8678,143,9980,9,11,0.998,0.0009,0.0011,10000
Municipalidad de Tierra Amarilla- TOP 10%,13.5277,13,6173,793,3034,0.6173,0.0793,0.3034,10000
Municipalidad de Tierra Amarilla- BOTTOM 90%,111.1578,107,7732,1715,553,0.7732,0.1715,0.0553,10000
Municipalidad de Coihueco- TOP 10%,14.182,15,0,5804,4196,0.0,0.5804,0.4196,10000
Municipalidad de Coihueco- BOTTOM 90%,149.8311,184,0,10000,0,0.0,1.0,0.0,10000
Corporación Municipal de Buin- TOP 10%,8.8895,9,0,1059,8941,0.0,0.1059,0.8941,10000
Corporación Municipal de Buin- BOTTOM 90%,318.8405,281,10000,0,0,1.0,0.0,0.0,10000
Servicio de Salud Concepción- TOP 10%,37.1928,31,9993,2,5,0.9993,0.0002,0.0005,10000
Servicio de Salud Concepción- BOTTOM 90%,239.8837,260,44,9918,38,0.0044,0.9918,0.0038,10000
Hospital de Tomé- TOP 10%,11.7457,12,0,2274,7726,0.0,0.2274,0.7726,10000
Hospital de Tomé- BOTTOM 90%,141.7619,122,9999,0,1,0.9999,0.0,0.0001,10000
Municipalidad de Puyehue- TOP 10%,3.9733,4,0,267,9733,0.0,0.0267,0.9733,10000
Municipalidad de Puyehue- BOTTOM 90%,132.5551,133,4322,4964,714,0.4322,0.4964,0.0714,10000
Municipalidad de Combarbalá- TOP 10%,8.7007,9,0,2619,7381,0.0,0.2619,0.7381,10000
Municipalidad de Combarbalá- BOTTOM 90%,102.8992,92,9785,131,84,0.9785,0.0131,0.0084,10000
Hospital de Lota- TOP 10%,21.1376,18,9914,13,73,0.9914,0.0013,0.0073,10000
Hospital de Lota- BOTTOM 90%,155.848,148,8975,752,273,0.8975,0.0752,0.0273,10000
Municipalidad de Los Sauces- TOP 10%,4.9733,5,0,266,9734,0.0,0.0266,0.9734,10000
Municipalidad de Los Sauces- BOTTOM 90%,111.3979,111,5017,3972,1011,0.5017,0.3972,0.1011,10000
Dirección General de Movilización Nacional (DGMN)- TOP 10%,3.9729,4,0,268,9732,0.0,0.0268,0.9732,10000
Dirección General de Movilización Nacional (DGMN)- BOTTOM 90%,130.331,127,7360,2030,610,0.736,0.203,0.061,10000
Servicio de Salud Valparaíso  San Antonio- TOP 10%,12.727,13,0,2433,7567,0.0,0.2433,0.7567,10000
Servicio de Salud Valparaíso  San Antonio- BOTTOM 90%,177.8117,180,3364,6034,602,0.3364,0.6034,0.0602,10000
Hospital de Victoria- TOP 10%,34.4303,16,10000,0,0,1.0,0.0,0.0,10000
Hospital de Victoria- BOTTOM 90%,318.5769,163,10000,0,0,1.0,0.0,0.0,10000
Hospital Ernesto Torres de Iquique- TOP 10%,66.7195,58,9973,10,17,0.9973,0.001,0.0017,10000
Hospital Ernesto Torres de Iquique- BOTTOM 90%,256.5501,230,9992,6,2,0.9992,0.0006,0.0002,10000
Municipalidad de Fresia- TOP 10%,8.8422,9,0,1471,8529,0.0,0.1471,0.8529,10000
Municipalidad de Fresia- BOTTOM 90%,91.6917,87,8577,970,453,0.8577,0.097,0.0453,10000
Corporación Municipal de Melipilla- TOP 10%,37.7653,38,3401,3905,2694,0.3401,0.3905,0.2694,10000
Corporación Municipal de Melipilla- BOTTOM 90%,474.3854,358,10000,0,0,1.0,0.0,0.0,10000
Servicio Agrícola y Ganadero (SAG)- TOP 10%,94.0668,102,74,9811,115,0.0074,0.9811,0.0115,10000
Servicio Agrícola y Ganadero (SAG)- BOTTOM 90%,37.7622,39,1018,6583,2399,0.1018,0.6583,0.2399,10000
Corporación Municipal de Pudahuel- TOP 10%,49.1477,52,207,9037,756,0.0207,0.9037,0.0756,10000
Corporación Municipal de Pudahuel- BOTTOM 90%,279.731,274,7342,2295,363,0.7342,0.2295,0.0363,10000
Servicio Local de Educación Pública de Barrancas- TOP 10%,49.1888,49,4652,3329,2019,0.4652,0.3329,0.2019,10000
Servicio Local de Educación Pública de Barrancas- BOTTOM 90%,491.5402,450,9997,2,1,0.9997,0.0002,0.0001,10000
Hospital de San Camilo- TOP 10%,31.2436,26,9985,5,10,0.9985,0.0005,0.001,10000
Hospital de San Camilo- BOTTOM 90%,200.8391,178,9991,4,5,0.9991,0.0004,0.0005,10000
Municipalidad de Hualaihué- TOP 10%,17.3476,18,0,4846,5154,0.0,0.4846,0.5154,10000
Municipalidad de Hualaihué- BOTTOM 90%,92.3724,87,8864,744,392,0.8864,0.0744,0.0392,10000
Hospital San José- TOP 10%,118.2881,107,9922,36,42,0.9922,0.0036,0.0042,10000
Hospital San José- BOTTOM 90%,310.8063,304,7515,2148,337,0.7515,0.2148,0.0337,10000
Municipalidad de Pudahuel- TOP 10%,27.7971,28,2944,3372,3684,0.2944,0.3372,0.3684,10000
Municipalidad de Pudahuel- BOTTOM 90%,185.4815,164,9996,3,1,0.9996,0.0003,0.0001,10000
Corporación Municipal de Valparaíso- TOP 10%,35.6946,34,8031,761,1208,0.8031,0.0761,0.1208,10000
Corporación Municipal de Valparaíso- BOTTOM 90%,629.996,683,3,9996,1,0.0003,0.9996,0.0001,10000
Municipalidad de San Pedro De La Paz- TOP 10%,35.4277,36,2567,4771,2662,0.2567,0.4771,0.2662,10000
Municipalidad de San Pedro De La Paz- BOTTOM 90%,353.6625,392,0,10000,0,0.0,1.0,0.0,10000
Municipalidad de Renca- TOP 10%,28.7184,29,2766,3703,3531,0.2766,0.3703,0.3531,10000
Municipalidad de Renca- BOTTOM 90%,153.3915,142,9773,145,82,0.9773,0.0145,0.0082,10000
Municipalidad de Cartagena- TOP 10%,17.4677,16,9045,148,807,0.9045,0.0148,0.0807,10000
Municipalidad de Cartagena- BOTTOM 90%,238.4723,197,10000,0,0,1.0,0.0,0.0,10000
Corporación Municipal de Las Condes- TOP 10%,29.6294,31,0,7518,2482,0.0,0.7518,0.2482,10000
Corporación Municipal de Las Condes- BOTTOM 90%,332.6935,331,5476,4139,385,0.5476,0.4139,0.0385,10000
Instituto Psiquiátrico- TOP 10%,22.2425,20,9612,61,327,0.9612,0.0061,0.0327,10000
Instituto Psiquiátrico- BOTTOM 90%,145.5476,133,9897,53,50,0.9897,0.0053,0.005,10000
Hospital San José de Coronel- TOP 10%,22.9766,23,3469,2741,3790,0.3469,0.2741,0.379,10000
Hospital San José de Coronel- BOTTOM 90%,189.9004,187,6375,3098,527,0.6375,0.3098,0.0527,10000
Municipalidad de Valparaíso- TOP 10%,41.8116,42,3725,3954,2321,0.3725,0.3954,0.2321,10000
Municipalidad de Valparaíso- BOTTOM 90%,346.3508,352,2765,6892,343,0.2765,0.6892,0.0343,10000
Municipalidad de Quilleco- TOP 10%,14.6046,15,0,3283,6717,0.0,0.3283,0.6717,10000
Municipalidad de Quilleco- BOTTOM 90%,91.538,83,9840,86,74,0.984,0.0086,0.0074,10000
Municipalidad de Coyhaique- TOP 10%,37.7853,37,5950,2160,1890,0.595,0.216,0.189,10000
Municipalidad de Coyhaique- BOTTOM 90%,134.1848,129,8064,1484,452,0.8064,0.1484,0.0452,10000
Municipalidad de Ñiquén- TOP 10%,25.1996,25,4520,3022,2458,0.452,0.3022,0.2458,10000
Municipalidad de Ñiquén- BOTTOM 90%,116.7337,134,0,9998,2,0.0,0.9998,0.0002,10000
Municipalidad de Collipulli- TOP 10%,12.7881,12,8088,195,1717,0.8088,0.0195,0.1717,10000
Municipalidad de Collipulli- BOTTOM 90%,156.4499,132,10000,0,0,1.0,0.0,0.0,10000
Corporación Municipal de La Reina- TOP 10%,11.7887,12,0,1900,8100,0.0,0.19,0.81,10000
Corporación Municipal de La Reina- BOTTOM 90%,167.6914,179,168,9740,92,0.0168,0.974,0.0092,10000
Municipalidad de Malloa- TOP 10%,2.9853,3,0,147,9853,0.0,0.0147,0.9853,10000
Municipalidad de Malloa- BOTTOM 90%,133.5948,130,7145,2240,615,0.7145,0.224,0.0615,10000
Municipalidad de Requínoa- TOP 10%,11.6724,12,0,2810,7190,0.0,0.281,0.719,10000
Municipalidad de Requínoa- BOTTOM 90%,181.805,195,226,9703,71,0.0226,0.9703,0.0071,10000
Municipalidad de Nancagua- TOP 10%,4.9479,5,0,510,9490,0.0,0.051,0.949,10000
Municipalidad de Nancagua- BOTTOM 90%,167.2511,155,9660,232,108,0.966,0.0232,0.0108,10000
Servicio de Salud Maule- TOP 10%,58.9464,59,4345,4293,1362,0.4345,0.4293,0.1362,10000
Servicio de Salud Maule- BOTTOM 90%,378.0829,362,9288,584,128,0.9288,0.0584,0.0128,10000
Servicio de Salud Atacama- TOP 10%,86.3663,90,1541,7815,644,0.1541,0.7815,0.0644,10000
Servicio de Salud Atacama- BOTTOM 90%,422.4933,415,7186,2529,285,0.7186,0.2529,0.0285,10000
Corporación Municipal de Castro- TOP 10%,25.5506,25,5663,1715,2622,0.5663,0.1715,0.2622,10000
Corporación Municipal de Castro- BOTTOM 90%,313.6104,242,10000,0,0,1.0,0.0,0.0,10000
Instituto Nacional del Tórax- TOP 10%,28.6828,25,9890,21,89,0.989,0.0021,0.0089,10000
Instituto Nacional del Tórax- BOTTOM 90%,121.1616,120,5696,3426,878,0.5696,0.3426,0.0878,10000
Servicio de Salud Talcahuano- TOP 10%,13.6306,14,0,3132,6868,0.0,0.3132,0.6868,10000
Servicio de Salud Talcahuano- BOTTOM 90%,132.9305,132,5354,3887,759,0.5354,0.3887,0.0759,10000
Hospital Base de Valdivia- TOP 10%,122.7367,125,2668,6529,803,0.2668,0.6529,0.0803,10000
Hospital Base de Valdivia- BOTTOM 90%,439.9282,429,8212,1576,212,0.8212,0.1576,0.0212,10000
Corporación Municipal de Rancagua (CORMUN)- TOP 10%,45.5119,49,201,9223,576,0.0201,0.9223,0.0576,10000
Corporación Municipal de Rancagua (CORMUN)- BOTTOM 90%,514.5948,568,0,10000,0,0.0,1.0,0.0,10000
Municipalidad de Olivar- TOP 10%,8.8149,9,0,1698,8302,0.0,0.1698,0.8302,10000
Municipalidad de Olivar- BOTTOM 90%,134.0424,134,4635,4643,722,0.4635,0.4643,0.0722,10000
Municipalidad de El Bosque- TOP 10%,80.5841,76,9086,520,394,0.9086,0.052,0.0394,10000
Municipalidad de El Bosque- BOTTOM 90%,485.8601,433,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Chillán- TOP 10%,45.0086,51,30,9893,77,0.003,0.9893,0.0077,10000
Municipalidad de Chillán- BOTTOM 90%,183.6859,428,0,10000,0,0.0,1.0,0.0,10000
Municipalidad de La Cisterna- TOP 10%,25.9431,25,7155,911,1934,0.7155,0.0911,0.1934,10000
Municipalidad de La Cisterna- BOTTOM 90%,281.2099,269,9163,661,176,0.9163,0.0661,0.0176,10000
Hospital Luis Calvo Mackenna- TOP 10%,65.1534,64,6234,2412,1354,0.6234,0.2412,0.1354,10000
Hospital Luis Calvo Mackenna- BOTTOM 90%,258.3375,247,9140,661,199,0.914,0.0661,0.0199,10000
Servicio Local de Educación Pública Huasco- TOP 10%,23.4855,23,5485,1886,2629,0.5485,0.1886,0.2629,10000
Servicio Local de Educación Pública Huasco- BOTTOM 90%,258.7239,250,8198,1500,302,0.8198,0.15,0.0302,10000
Servicio de Salud de Chiloé- TOP 10%,28.214,29,1626,5425,2949,0.1626,0.5425,0.2949,10000
Servicio de Salud de Chiloé- BOTTOM 90%,182.3278,149,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Quemchi- TOP 10%,15.4895,15,5965,925,3110,0.5965,0.0925,0.311,10000
Municipalidad de Quemchi- BOTTOM 90%,124.7718,115,9632,248,120,0.9632,0.0248,0.012,10000
Municipalidad de Maule- TOP 10%,6.8789,7,0,1163,8837,0.0,0.1163,0.8837,10000
Municipalidad de Maule- BOTTOM 90%,153.6879,160,1415,8195,390,0.1415,0.8195,0.039,10000
Corporación Municipal de Macul- TOP 10%,27.7942,28,2949,3402,3649,0.2949,0.3402,0.3649,10000
Corporación Municipal de Macul- BOTTOM 90%,156.1391,160,2121,7316,563,0.2121,0.7316,0.0563,10000
Corporación Municipal de Desarrollo Social de Ñuñoa- TOP 10%,43.0585,46,0,9498,502,0.0,0.9498,0.0502,10000
Corporación Municipal de Desarrollo Social de Ñuñoa- BOTTOM 90%,378.8825,378,5122,4460,418,0.5122,0.446,0.0418,10000
Municipalidad de Molina- TOP 10%,15.3037,16,0,5078,4922,0.0,0.5078,0.4922,10000
Municipalidad de Molina- BOTTOM 90%,192.2219,192,4870,4555,575,0.487,0.4555,0.0575,10000
Hospital Clínico Magallanes Dr Lautaro Navarro Aravia- TOP 10%,113.7944,94,10000,0,0,1.0,0.0,0.0,10000
Hospital Clínico Magallanes Dr Lautaro Navarro Aravia- BOTTOM 90%,396.2866,383,8555,1272,173,0.8555,0.1272,0.0173,10000
Municipalidad de Curanilahue- TOP 10%,10.787,11,0,1936,8064,0.0,0.1936,0.8064,10000
Municipalidad de Curanilahue- BOTTOM 90%,233.3651,184,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Olmué- TOP 10%,11.7657,12,0,2100,7900,0.0,0.21,0.79,10000
Municipalidad de Olmué- BOTTOM 90%,152.3975,151,5686,3564,750,0.5686,0.3564,0.075,10000
Municipalidad de Colbún- TOP 10%,6.8701,7,0,1237,8763,0.0,0.1237,0.8763,10000
Municipalidad de Colbún- BOTTOM 90%,175.884,188,361,9522,117,0.0361,0.9522,0.0117,10000
Municipalidad de Cerro Navia- TOP 10%,34.1712,18,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Cerro Navia- BOTTOM 90%,293.0452,156,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Hualqui- TOP 10%,6.9167,7,0,800,9200,0.0,0.08,0.92,10000
Municipalidad de Hualqui- BOTTOM 90%,104.522,97,9503,299,198,0.9503,0.0299,0.0198,10000
Municipalidad de Vilcún- TOP 10%,17.593,18,0,3375,6625,0.0,0.3375,0.6625,10000
Municipalidad de Vilcún- BOTTOM 90%,175.0217,152,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Talca- TOP 10%,66.7363,69,2027,6985,988,0.2027,0.6985,0.0988,10000
Municipalidad de Talca- BOTTOM 90%,502.902,502,5115,4591,294,0.5115,0.4591,0.0294,10000
Servicio de Salud Araucanía Norte- TOP 10%,22.348,22,5130,1351,3519,0.513,0.1351,0.3519,10000
Servicio de Salud Araucanía Norte- BOTTOM 90%,240.5563,220,9961,24,15,0.9961,0.0024,0.0015,10000
Hospital San Juan de Dios de Los Andes- TOP 10%,17.4632,16,8994,151,855,0.8994,0.0151,0.0855,10000
Hospital San Juan de Dios de Los Andes- BOTTOM 90%,153.7748,143,9666,228,106,0.9666,0.0228,0.0106,10000
Corporación Municipal de Educación y Servicios Ramón Freire Dalcahue- TOP 10%,1.9959,2,0,41,9959,0.0,0.0041,0.9959,10000
Corporación Municipal de Educación y Servicios Ramón Freire Dalcahue- BOTTOM 90%,129.0178,103,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Mejillones- TOP 10%,9.8084,9,8264,170,1566,0.8264,0.017,0.1566,10000
Municipalidad de Mejillones- BOTTOM 90%,82.729,62,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Diego de Almagro- TOP 10%,15.3697,16,0,4715,5285,0.0,0.4715,0.5285,10000
Municipalidad de Diego de Almagro- BOTTOM 90%,128.107,123,7985,1533,482,0.7985,0.1533,0.0482,10000
Municipalidad de Quilpué- TOP 10%,28.5164,30,0,7810,2190,0.0,0.781,0.219,10000
Municipalidad de Quilpué- BOTTOM 90%,160.8662,162,3919,5425,656,0.3919,0.5425,0.0656,10000
Municipalidad de San Bernardo- TOP 10%,34.1739,34,4558,2736,2706,0.4558,0.2736,0.2706,10000
Municipalidad de San Bernardo- BOTTOM 90%,211.7561,186,9997,0,3,0.9997,0.0,0.0003,10000
Hospital Regional Coyhaique- TOP 10%,57.2677,53,9219,379,402,0.9219,0.0379,0.0402,10000
Hospital Regional Coyhaique- BOTTOM 90%,259.4721,251,8187,1530,283,0.8187,0.153,0.0283,10000
Municipalidad de Cunco- TOP 10%,10.8508,11,0,1403,8597,0.0,0.1403,0.8597,10000
Municipalidad de Cunco- BOTTOM 90%,147.3962,136,9848,102,50,0.9848,0.0102,0.005,10000
Dirección de Previsión de Carabineros de Chile (DIPRECA)- TOP 10%,12.7585,12,7869,269,1862,0.7869,0.0269,0.1862,10000
Dirección de Previsión de Carabineros de Chile (DIPRECA)- BOTTOM 90%,153.4484,135,9993,5,2,0.9993,0.0005,0.0002,10000
Municipalidad de Coquimbo- TOP 10%,60.074,59,5761,3184,1055,0.5761,0.3184,0.1055,10000
Municipalidad de Coquimbo- BOTTOM 90%,364.8078,411,0,10000,0,0.0,1.0,0.0,10000
Hospital Claudio Vicuña de San Antonio- TOP 10%,28.543,26,9446,146,408,0.9446,0.0146,0.0408,10000
Hospital Claudio Vicuña de San Antonio- BOTTOM 90%,147.5287,133,9940,42,18,0.994,0.0042,0.0018,10000
Municipalidad de Maullín- TOP 10%,5.9362,6,0,625,9375,0.0,0.0625,0.9375,10000
Municipalidad de Maullín- BOTTOM 90%,114.8282,96,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Paredones- TOP 10%,1.0,1,0,0,10000,0.0,0.0,1.0,10000
Municipalidad de Paredones- BOTTOM 90%,85.6343,76,9896,53,51,0.9896,0.0053,0.0051,10000
Municipalidad de Romeral- TOP 10%,21.5956,23,0,7664,2336,0.0,0.7664,0.2336,10000
Municipalidad de Romeral- BOTTOM 90%,145.3187,133,9751,162,87,0.9751,0.0162,0.0087,10000
Hospital Sótero del Río- TOP 10%,131.7601,132,4413,4728,859,0.4413,0.4728,0.0859,10000
Hospital Sótero del Río- BOTTOM 90%,442.3914,403,9993,6,1,0.9993,0.0006,0.0001,10000
Servicio de Salud Aconcagua- TOP 10%,19.3634,18,8681,248,1071,0.8681,0.0248,0.1071,10000
Servicio de Salud Aconcagua- BOTTOM 90%,255.986,200,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Rio Bueno- TOP 10%,24.1303,22,9473,98,429,0.9473,0.0098,0.0429,10000
Municipalidad de Rio Bueno- BOTTOM 90%,263.1439,229,10000,0,0,1.0,0.0,0.0,10000
Corporación Municipal de Desarrollo Social de Til Til- TOP 10%,9.8638,9,8718,76,1206,0.8718,0.0076,0.1206,10000
Corporación Municipal de Desarrollo Social de Til Til- BOTTOM 90%,138.5277,117,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Canela- TOP 10%,3.9485,3,9494,9,497,0.9494,0.0009,0.0497,10000
Municipalidad de Canela- BOTTOM 90%,97.6244,99,3528,5677,795,0.3528,0.5677,0.0795,10000
Instituto Nacional de Estadisticas (INE)- TOP 10%,44.823,26,10000,0,0,1.0,0.0,0.0,10000
Instituto Nacional de Estadisticas (INE)- BOTTOM 90%,146.74,78,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Lago Ranco- TOP 10%,6.9362,7,0,621,9379,0.0,0.0621,0.9379,10000
Municipalidad de Lago Ranco- BOTTOM 90%,107.7503,106,6355,2764,881,0.6355,0.2764,0.0881,10000
Municipalidad de Buin- TOP 10%,13.7237,14,0,2399,7601,0.0,0.2399,0.7601,10000
Municipalidad de Buin- BOTTOM 90%,92.3492,87,9202,469,329,0.9202,0.0469,0.0329,10000
Municipalidad de Quintero- TOP 10%,12.733,13,0,2363,7637,0.0,0.2363,0.7637,10000
Municipalidad de Quintero- BOTTOM 90%,127.8041,119,9592,280,128,0.9592,0.028,0.0128,10000
Municipalidad de Mariquina- TOP 10%,4.9731,5,0,267,9733,0.0,0.0267,0.9733,10000
Municipalidad de Mariquina- BOTTOM 90%,158.5425,161,2953,6397,650,0.2953,0.6397,0.065,10000
Municipalidad de San Felipe- TOP 10%,23.9795,21,9845,27,128,0.9845,0.0027,0.0128,10000
Municipalidad de San Felipe- BOTTOM 90%,351.0682,315,9998,2,0,0.9998,0.0002,0.0,10000
Municipalidad de Cholchol- TOP 10%,17.5996,18,0,3356,6644,0.0,0.3356,0.6644,10000
Municipalidad de Cholchol- BOTTOM 90%,92.8508,88,9124,518,358,0.9124,0.0518,0.0358,10000
Servicio de Salud Ñuble- TOP 10%,21.9674,23,1038,6278,2684,0.1038,0.6278,0.2684,10000
Servicio de Salud Ñuble- BOTTOM 90%,161.0191,255,0,10000,0,0.0,1.0,0.0,10000
Hospital Urgencia Asistencia Pública (HUAP)- TOP 10%,95.2887,90,9137,524,339,0.9137,0.0524,0.0339,10000
Hospital Urgencia Asistencia Pública (HUAP)- BOTTOM 90%,405.9893,378,9930,55,15,0.993,0.0055,0.0015,10000
Corporación Municipal de Desarrollo Social de Antofagasta (CMDS)- TOP 10%,231.334,234,3477,6048,475,0.3477,0.6048,0.0475,10000
Corporación Municipal de Desarrollo Social de Antofagasta (CMDS)- BOTTOM 90%,1029.5715,989,9824,159,17,0.9824,0.0159,0.0017,10000
Municipalidad de Melipilla- TOP 10%,18.4812,19,0,4041,5959,0.0,0.4041,0.5959,10000
Municipalidad de Melipilla- BOTTOM 90%,110.3155,100,9899,52,49,0.9899,0.0052,0.0049,10000
Municipalidad de Tocopilla- TOP 10%,11.7145,12,0,2526,7474,0.0,0.2526,0.7474,10000
Municipalidad de Tocopilla- BOTTOM 90%,139.6876,133,8706,930,364,0.8706,0.093,0.0364,10000
Servicio Nacional de Aduanas- TOP 10%,154.9227,157,3247,6099,654,0.3247,0.6099,0.0654,10000
Servicio Nacional de Aduanas- BOTTOM 90%,292.4264,286,7451,2182,367,0.7451,0.2182,0.0367,10000
Municipalidad de San Ignacio- TOP 10%,6.9217,7,0,758,9242,0.0,0.0758,0.9242,10000
Municipalidad de San Ignacio- BOTTOM 90%,194.3037,159,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Maipú- TOP 10%,102.0741,103,3646,5345,1009,0.3646,0.5345,0.1009,10000
Municipalidad de Maipú- BOTTOM 90%,422.3132,383,9995,1,4,0.9995,0.0001,0.0004,10000
Hospital San Martín de Quillota- TOP 10%,38.3493,40,658,7532,1810,0.0658,0.7532,0.181,10000
Hospital San Martín de Quillota- BOTTOM 90%,151.3409,125,9999,0,1,0.9999,0.0,0.0001,10000
Municipalidad de Pelarco- TOP 10%,11.6115,6,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Pelarco- BOTTOM 90%,160.9403,97,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Curacautín- TOP 10%,6.9437,7,0,553,9447,0.0,0.0553,0.9447,10000
Municipalidad de Curacautín- BOTTOM 90%,196.0785,146,10000,0,0,1.0,0.0,0.0,10000
Municipalidad de Traiguén- TOP 10%,4.976,5,0,239,9761,0.0,0.0239,0.9761,10000
