,Avergare Distint Names,Current Distint Names,# MonteCarlo's Distint Names > Current Distint Names,# MonteCarlo's Distint Names < Current Distint Names,# MonteCarlo's Distint Names = Current Distint Names,P(MonteCarlo's Distint Names > Current Distint Names),P(MonteCarlo's Distint Names < Current Distint Names),P(MonteCarlo's Distint Names = Current Distint Names),Iterations
Vivienda y Urbanismo- TOP 10%,157.39,177,0,100,0,0.0,1.0,0.0,100
Vivienda y Urbanismo- BOTTOM 90%,234.95,252,2,98,0,0.02,0.98,0.0,100
Municipios de Los Ríos- TOP 10%,113.9,114,46,41,13,0.46,0.41,0.13,100
Municipios de Los Ríos- BOTTOM 90%,735.39,908,0,100,0,0.0,1.0,0.0,100
Municipios de Antofagasta- TOP 10%,38.51,39,36,48,16,0.36,0.48,0.16,100
Municipios de Antofagasta- BOTTOM 90%,246.61,251,24,68,8,0.24,0.68,0.08,100
Deporte- TOP 10%,58.62,65,0,100,0,0.0,1.0,0.0,100
Deporte- BOTTOM 90%,93.83,102,1,98,1,0.01,0.98,0.01,100
Municipios de Valparaíso- TOP 10%,290.4,348,0,100,0,0.0,1.0,0.0,100
Municipios de Valparaíso- BOTTOM 90%,1388.74,1708,0,100,0,0.0,1.0,0.0,100
Hacienda- TOP 10%,278.07,337,0,100,0,0.0,1.0,0.0,100
Hacienda- BOTTOM 90%,498.57,605,0,100,0,0.0,1.0,0.0,100
Municipios de Tarapacá- TOP 10%,25.13,25,40,20,40,0.4,0.2,0.4,100
Municipios de Tarapacá- BOTTOM 90%,179.16,185,9,83,8,0.09,0.83,0.08,100
Municipios de R. Metropolitana de Santiago- TOP 10%,681.81,856,0,100,0,0.0,1.0,0.0,100
Municipios de R. Metropolitana de Santiago- BOTTOM 90%,2945.01,3079,0,100,0,0.0,1.0,0.0,100
Municipios de Coquimbo- TOP 10%,126.77,142,0,99,1,0.0,0.99,0.01,100
Municipios de Coquimbo- BOTTOM 90%,812.19,995,0,100,0,0.0,1.0,0.0,100
Economía Fomento y Turismo- TOP 10%,239.27,258,0,99,1,0.0,0.99,0.01,100
Economía Fomento y Turismo- BOTTOM 90%,227.74,185,100,0,0,1.0,0.0,0.0,100
Corporaciones Municipales- TOP 10%,537.3,649,0,100,0,0.0,1.0,0.0,100
Corporaciones Municipales- BOTTOM 90%,2691.13,3127,0,100,0,0.0,1.0,0.0,100
Municipios del Maule- TOP 10%,208.09,249,0,100,0,0.0,1.0,0.0,100
Municipios del Maule- BOTTOM 90%,1008.95,1475,0,100,0,0.0,1.0,0.0,100
Municipios de Magallanes y de la Antártica Chilena- TOP 10%,85.12,91,8,87,5,0.08,0.87,0.05,100
Municipios de Magallanes y de la Antártica Chilena- BOTTOM 90%,234.61,239,24,72,4,0.24,0.72,0.04,100
Consejo Defensa del Estado- TOP 10%,96.79,103,1,97,2,0.01,0.97,0.02,100
Consejo Defensa del Estado- BOTTOM 90%,27.88,29,0,67,33,0.0,0.67,0.33,100
Interior y Seguridad Pública- TOP 10%,163.92,207,0,100,0,0.0,1.0,0.0,100
Interior y Seguridad Pública- BOTTOM 90%,218.01,288,0,100,0,0.0,1.0,0.0,100
Culturas y las Artes- TOP 10%,70.82,45,100,0,0,1.0,0.0,0.0,100
Culturas y las Artes- BOTTOM 90%,113.4,59,100,0,0,1.0,0.0,0.0,100
Obras Públicas- TOP 10%,105.69,112,6,92,2,0.06,0.92,0.02,100
Obras Públicas- BOTTOM 90%,321.74,336,4,95,1,0.04,0.95,0.01,100
Agricultura- TOP 10%,169.71,189,0,100,0,0.0,1.0,0.0,100
Agricultura- BOTTOM 90%,184.24,194,1,95,4,0.01,0.95,0.04,100
Municipios del Bíobio- TOP 10%,287.91,353,0,100,0,0.0,1.0,0.0,100
Municipios del Bíobio- BOTTOM 90%,1301.78,1677,0,100,0,0.0,1.0,0.0,100
Municipios de Los Lagos- TOP 10%,278.11,341,0,100,0,0.0,1.0,0.0,100
Municipios de Los Lagos- BOTTOM 90%,1353.65,1452,0,100,0,0.0,1.0,0.0,100
